product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Earphone Holder,organisation,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",115,75,YES,4-6 hours,1
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",281,209,YES,4-8 hours,0
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",387,253,NO,1-2 days,2
Protective Phone Case,protection,Intermediate,"recycled plastic, bolts","jigsaw, clamps",136,91,YES,3-5 hours,1
Repair Bench Organiser,organisation,Beginner,"old packaging, glue","scissors, ruler, glue gun",21,12,YES,2-3 hours,1
Parts Storage Box,organisation,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",107,75,YES,2-4 hours,0
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","stapler, tape measure",48,24,YES,2-3 hours,0
Phone Charging Station,charging,Advanced,"steel rods, screws, drill bits","lathe, drill press",348,255,NO,1-2 days,1
Charging Dock,charging,Beginner,"cardboard, glue, scissors","stapler, tape measure",70,35,YES,2-3 hours,1
Phone Cradle,display,Advanced,"PCB board, solder, wires","CNC router, clamps",266,184,YES,1-2 days,1
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",178,110,YES,4-6 hours,0
Wire Storage Rack,organisation,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",167,106,YES,3-5 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",53,26,YES,2-3 hours,1
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",36,18,NO,2-3 hours,3
Phone Charging Station,charging,Beginner,"plastic bottles, tape","knife, cutting mat",52,29,YES,2-3 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",25,12,YES,2-3 hours,0
Wire Storage Rack,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",479,308,NO,1-2 days,2
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",89,58,YES,3-5 hours,0
Protective Phone Case,protection,Advanced,"PCB board, solder, wires","CNC router, clamps",273,177,YES,4-8 hours,1
Phone Charging Station,charging,Advanced,"PCB board, solder, wires","CNC router, clamps",254,165,YES,4-8 hours,0
Charging Dock,charging,Beginner,"old packaging, glue","knife, cutting mat",38,23,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Advanced,"wood, metal brackets, bolts","CNC router, clamps",360,226,YES,6-10 hours,1
Phone Stand,display,Beginner,"plastic bottles, tape","knife, cutting mat",80,42,YES,2-3 hours,0
Phone Stand,display,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",143,92,YES,4-6 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","marker, scissors",47,23,YES,2-3 hours,0
Soldering Station Holder,tools,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",56,31,YES,2-3 hours,1
Phone Cradle,display,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",343,248,YES,4-8 hours,1
Protective Phone Case,protection,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",151,104,YES,4-6 hours,0
Phone Stand,display,Beginner,"old packaging, glue","knife, cutting mat",28,16,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Advanced,"PCB board, solder, wires","lathe, drill press",363,227,NO,1-2 days,3
Phone Charging Station,charging,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",170,109,YES,3-5 hours,0
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","CNC router, clamps",357,257,YES,6-10 hours,0
Parts Storage Box,organisation,Beginner,"old packaging, glue","knife, cutting mat",57,31,YES,1-2 hours,0
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",256,161,YES,6-10 hours,0
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",441,322,YES,1-2 days,0
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",164,103,YES,4-6 hours,1
Phone Charging Station,charging,Intermediate,"recycled plastic, bolts","jigsaw, clamps",166,111,YES,2-4 hours,0
Phone Amplifier,audio,Advanced,"PCB board, solder, wires","lathe, drill press",352,223,NO,1-2 days,1
Parts Storage Box,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",450,291,YES,4-8 hours,1
Anti-slip Phone Mat,protection,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",184,112,YES,2-4 hours,1
Parts Storage Box,organisation,Beginner,"old packaging, glue","knife, cutting mat",42,25,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",339,210,YES,4-8 hours,0
Screwdriver Organiser,tools,Beginner,"old packaging, glue","scissors, ruler, glue gun",23,11,YES,1-2 hours,0
Phone Charging Station,charging,Beginner,"old packaging, glue","marker, scissors",46,26,YES,1-2 hours,1
Protective Phone Case,protection,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",162,92,YES,2-4 hours,1
Anti-slip Phone Mat,protection,Beginner,"old packaging, glue","marker, scissors",79,47,NO,1-2 hours,3
USB Hub Stand,charging,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",192,109,YES,3-5 hours,1
Screwdriver Organiser,tools,Advanced,"wood, metal brackets, bolts","lathe, drill press",468,315,NO,4-8 hours,1
Protective Phone Case,protection,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",66,35,YES,2-3 hours,1
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","CNC router, clamps",298,187,NO,1-2 days,2
Charging Dock,charging,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",165,95,NO,2-4 hours,1
Phone Amplifier,audio,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",110,68,YES,4-6 hours,0
Phone Amplifier,audio,Advanced,"aluminium sheet, welding rods","CNC router, clamps",384,270,YES,6-10 hours,0
Soldering Station Holder,tools,Advanced,"PCB board, solder, wires","welding machine, angle grinder",457,337,NO,1-2 days,2
Protective Phone Case,protection,Advanced,"steel rods, screws, drill bits","CNC router, clamps",313,198,YES,1-2 days,1
Soldering Station Holder,tools,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",481,354,NO,1-2 days,3
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",53,28,YES,1-2 hours,0
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",276,172,NO,1-2 days,1
Parts Storage Box,organisation,Advanced,"aluminium sheet, welding rods","CNC router, clamps",450,276,YES,4-8 hours,1
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","welding machine, angle grinder",229,157,YES,6-10 hours,1
USB Hub Stand,charging,Beginner,"old packaging, glue","stapler, tape measure",67,34,YES,1-2 hours,0
Anti-slip Phone Mat,protection,Beginner,"plastic bottles, tape","knife, cutting mat",79,42,YES,2-3 hours,1
Anti-slip Phone Mat,protection,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",137,93,NO,4-6 hours,3
USB Hub Stand,charging,Advanced,"steel rods, screws, drill bits","CNC router, clamps",268,187,YES,1-2 days,0
Parts Storage Box,organisation,Beginner,"cardboard, rubber bands","marker, scissors",73,35,YES,2-3 hours,1
USB Hub Stand,charging,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",35,19,YES,1-2 hours,1
Earphone Holder,organisation,Beginner,"cardboard, glue, scissors","marker, scissors",35,18,YES,1-2 hours,0
Parts Storage Box,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",45,24,YES,2-3 hours,0
USB Hub Stand,charging,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",494,320,YES,6-10 hours,0
Screwdriver Organiser,tools,Advanced,"steel rods, screws, drill bits","CNC router, clamps",313,207,YES,1-2 days,1
Phone Stand,display,Intermediate,"recycled plastic, bolts","jigsaw, clamps",200,130,YES,3-5 hours,0
Phone Amplifier,audio,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",103,69,YES,4-6 hours,0
Phone Cradle,display,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",197,112,YES,3-5 hours,0
Phone Amplifier,audio,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",41,23,NO,1-2 hours,1
Phone Amplifier,audio,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",166,107,YES,4-6 hours,0
Wire Storage Rack,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",75,44,YES,1-2 hours,0
Parts Storage Box,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",197,117,YES,2-4 hours,1
Phone Cradle,display,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",128,80,YES,3-5 hours,1
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",71,42,YES,2-3 hours,1
Soldering Station Holder,tools,Beginner,"cardboard, glue, scissors","stapler, tape measure",56,33,YES,2-3 hours,1
Cable Organiser,organisation,Beginner,"plastic bottles, tape","marker, scissors",41,21,YES,2-3 hours,1
Phone Cradle,display,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",172,112,YES,2-4 hours,0
Parts Storage Box,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",450,282,NO,4-8 hours,3
Phone Stand,display,Beginner,"cardboard, glue, scissors","knife, cutting mat",46,23,YES,1-2 hours,0
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",127,72,YES,2-4 hours,0
Phone Charging Station,charging,Advanced,"PCB board, solder, wires","lathe, drill press",410,247,YES,4-8 hours,1
Phone Cradle,display,Beginner,"plastic bottles, tape","knife, cutting mat",26,15,YES,2-3 hours,1
Phone Amplifier,audio,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",90,55,YES,3-5 hours,0
Screwdriver Organiser,tools,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",216,133,YES,1-2 days,0
Parts Storage Box,organisation,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",25,13,YES,1-2 hours,0
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","lathe, drill press",490,329,YES,1-2 days,0
Cable Organiser,organisation,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",82,57,YES,3-5 hours,0
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","marker, scissors",56,32,YES,1-2 hours,0
Phone Charging Station,charging,Advanced,"aluminium sheet, welding rods","lathe, drill press",377,229,YES,1-2 days,1
Phone Cradle,display,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",83,54,YES,2-4 hours,1
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",135,79,YES,4-6 hours,1
Phone Cradle,display,Beginner,"old packaging, glue","knife, cutting mat",65,32,YES,2-3 hours,1
Protective Phone Case,protection,Beginner,"cardboard, rubber bands","stapler, tape measure",25,12,YES,1-2 hours,0
Charging Dock,charging,Beginner,"old packaging, glue","scissors, ruler, glue gun",47,25,YES,1-2 hours,0
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",247,170,NO,6-10 hours,2
Soldering Station Holder,tools,Beginner,"plastic bottles, tape","knife, cutting mat",66,39,YES,2-3 hours,0
Cable Organiser,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",118,71,YES,3-5 hours,1
Phone Amplifier,audio,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",180,103,YES,4-6 hours,0
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","marker, scissors",28,14,NO,2-3 hours,2
Protective Phone Case,protection,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",184,124,YES,3-5 hours,0
Wire Storage Rack,organisation,Intermediate,"recycled plastic, bolts","jigsaw, clamps",102,71,NO,4-6 hours,1
Protective Phone Case,protection,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",115,78,YES,4-6 hours,0
Screwdriver Organiser,tools,Advanced,"steel rods, screws, drill bits","CNC router, clamps",213,158,YES,6-10 hours,0
USB Hub Stand,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",166,105,YES,4-6 hours,0
Parts Storage Box,organisation,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",181,111,YES,4-6 hours,1
Phone Charging Station,charging,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",70,42,YES,1-2 hours,1
Cable Organiser,organisation,Advanced,"wood, metal brackets, bolts","lathe, drill press",222,152,YES,6-10 hours,0
Phone Stand,display,Beginner,"plastic bottles, tape","marker, scissors",36,18,YES,2-3 hours,1
Wire Storage Rack,organisation,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",456,284,NO,6-10 hours,2
Anti-slip Phone Mat,protection,Beginner,"cardboard, rubber bands","stapler, tape measure",27,16,YES,2-3 hours,1
Phone Cradle,display,Beginner,"old packaging, glue","marker, scissors",53,29,YES,2-3 hours,0
Phone Amplifier,audio,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",71,40,YES,1-2 hours,0
Phone Charging Station,charging,Beginner,"old packaging, glue","knife, cutting mat",55,27,YES,2-3 hours,0
Cable Organiser,organisation,Advanced,"steel rods, screws, drill bits","CNC router, clamps",421,278,YES,1-2 days,1
Soldering Station Holder,tools,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",65,33,YES,1-2 hours,1
Protective Phone Case,protection,Beginner,"old packaging, glue","stapler, tape measure",49,24,YES,2-3 hours,1
Earphone Holder,organisation,Beginner,"plastic bottles, tape","stapler, tape measure",42,22,YES,1-2 hours,0
Protective Phone Case,protection,Beginner,"plastic bottles, tape","marker, scissors",35,18,YES,2-3 hours,0
Earphone Holder,organisation,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",134,79,YES,3-5 hours,1
Cable Organiser,organisation,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",40,23,YES,2-3 hours,0
Repair Bench Organiser,organisation,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",151,95,YES,4-6 hours,1
Wire Storage Rack,organisation,Beginner,"plastic bottles, tape","stapler, tape measure",25,14,YES,1-2 hours,1
Repair Bench Organiser,organisation,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",347,217,YES,1-2 days,0
Phone Amplifier,audio,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",387,264,NO,6-10 hours,1
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","lathe, drill press",326,210,NO,6-10 hours,1
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","marker, scissors",69,40,YES,1-2 hours,0
Phone Cradle,display,Beginner,"cardboard, rubber bands","stapler, tape measure",72,36,YES,1-2 hours,1
Parts Storage Box,organisation,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",117,75,NO,3-5 hours,1
Phone Amplifier,audio,Advanced,"steel rods, screws, drill bits","lathe, drill press",264,186,YES,4-8 hours,1
Wire Storage Rack,organisation,Beginner,"old packaging, glue","marker, scissors",56,31,YES,1-2 hours,0
Soldering Station Holder,tools,Advanced,"wood, metal brackets, bolts","CNC router, clamps",342,241,NO,6-10 hours,3
Phone Stand,display,Advanced,"PCB board, solder, wires","welding machine, angle grinder",247,175,YES,1-2 days,1
Repair Bench Organiser,organisation,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",185,109,YES,4-6 hours,0
Earphone Holder,organisation,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",180,109,YES,2-4 hours,1
Phone Stand,display,Beginner,"cardboard, glue, scissors","marker, scissors",79,46,YES,1-2 hours,0
Anti-slip Phone Mat,protection,Advanced,"PCB board, solder, wires","welding machine, angle grinder",354,221,NO,1-2 days,2
Phone Amplifier,audio,Beginner,"cardboard, glue, scissors","marker, scissors",43,24,YES,2-3 hours,0
Soldering Station Holder,tools,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",246,174,YES,4-8 hours,0
Phone Charging Station,charging,Advanced,"aluminium sheet, welding rods","CNC router, clamps",427,257,YES,1-2 days,0
Wire Storage Rack,organisation,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",34,18,YES,2-3 hours,1
Anti-slip Phone Mat,protection,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",97,60,YES,2-4 hours,0
Earphone Holder,organisation,Advanced,"steel rods, screws, drill bits","CNC router, clamps",284,189,YES,1-2 days,1
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","marker, scissors",25,15,YES,2-3 hours,1
Protective Phone Case,protection,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",35,18,YES,2-3 hours,0
Phone Charging Station,charging,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",460,289,YES,6-10 hours,1
Charging Dock,charging,Beginner,"cardboard, glue, scissors","stapler, tape measure",51,28,YES,2-3 hours,0
Soldering Station Holder,tools,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",415,272,YES,4-8 hours,0
Phone Stand,display,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",107,61,YES,4-6 hours,1
Soldering Station Holder,tools,Advanced,"steel rods, screws, drill bits","lathe, drill press",405,248,YES,4-8 hours,1
Charging Dock,charging,Advanced,"PCB board, solder, wires","CNC router, clamps",304,227,YES,1-2 days,0
Phone Amplifier,audio,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",423,300,NO,4-8 hours,2
Charging Dock,charging,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",158,102,YES,2-4 hours,0
Parts Storage Box,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",30,16,YES,2-3 hours,0
Parts Storage Box,organisation,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",173,118,YES,3-5 hours,1
Phone Charging Station,charging,Beginner,"cardboard, glue, scissors","marker, scissors",36,20,YES,2-3 hours,1
Phone Stand,display,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",189,121,YES,4-6 hours,0
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",460,276,NO,4-8 hours,2
Protective Phone Case,protection,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",197,114,NO,2-4 hours,2
Repair Bench Organiser,organisation,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",197,130,YES,2-4 hours,0
Cable Organiser,organisation,Beginner,"old packaging, glue","scissors, ruler, glue gun",71,38,YES,2-3 hours,1
Phone Cradle,display,Intermediate,"recycled plastic, bolts","soldering iron, wire cutters",121,69,YES,3-5 hours,1
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",324,217,YES,1-2 days,0
Cable Organiser,organisation,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",79,42,YES,2-3 hours,0
Phone Cradle,display,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",392,285,YES,1-2 days,0
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",87,61,YES,2-4 hours,0
Anti-slip Phone Mat,protection,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",411,290,YES,1-2 days,0
Screwdriver Organiser,tools,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",89,57,YES,3-5 hours,1
USB Hub Stand,charging,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",198,133,YES,3-5 hours,1
Repair Bench Organiser,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",80,40,YES,1-2 hours,0
Wire Storage Rack,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",120,74,YES,3-5 hours,1
Phone Amplifier,audio,Beginner,"cardboard, glue, scissors","knife, cutting mat",25,12,YES,2-3 hours,0
Charging Dock,charging,Advanced,"aluminium sheet, welding rods","lathe, drill press",327,244,YES,6-10 hours,0
Phone Stand,display,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",189,118,YES,3-5 hours,0
Phone Cradle,display,Beginner,"plastic bottles, tape","knife, cutting mat",27,13,YES,1-2 hours,1
Protective Phone Case,protection,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",243,167,YES,4-8 hours,0
Anti-slip Phone Mat,protection,Advanced,"PCB board, solder, wires","welding machine, angle grinder",427,308,YES,4-8 hours,1
Phone Stand,display,Beginner,"old packaging, glue","marker, scissors",79,43,YES,1-2 hours,1
Screwdriver Organiser,tools,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",102,62,NO,3-5 hours,1
Phone Stand,display,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",325,227,YES,4-8 hours,1
Soldering Station Holder,tools,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",46,23,YES,2-3 hours,1
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","CNC router, clamps",448,292,YES,6-10 hours,0
Phone Stand,display,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",156,92,NO,3-5 hours,3
Protective Phone Case,protection,Advanced,"steel rods, screws, drill bits","lathe, drill press",319,238,YES,1-2 days,0
Phone Cradle,display,Beginner,"cardboard, rubber bands","knife, cutting mat",56,33,YES,1-2 hours,0
Earphone Holder,organisation,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",183,121,YES,4-6 hours,0
Earphone Holder,organisation,Beginner,"old packaging, glue","stapler, tape measure",73,44,YES,1-2 hours,1
Phone Stand,display,Beginner,"old packaging, glue","scissors, ruler, glue gun",23,12,YES,2-3 hours,0
Phone Cradle,display,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",41,23,YES,1-2 hours,0
Earphone Holder,organisation,Advanced,"PCB board, solder, wires","welding machine, angle grinder",272,195,NO,6-10 hours,3
Screwdriver Organiser,tools,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",155,89,YES,4-6 hours,1
Phone Cradle,display,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",449,313,YES,1-2 days,0
Soldering Station Holder,tools,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",173,114,YES,4-6 hours,0
Cable Organiser,organisation,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",362,267,NO,6-10 hours,1
Protective Phone Case,protection,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",239,152,NO,1-2 days,3
Screwdriver Organiser,tools,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",371,247,YES,6-10 hours,1
Phone Cradle,display,Beginner,"old packaging, glue","knife, cutting mat",66,32,YES,2-3 hours,1
