product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Anti-slip Phone Mat,protection,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",124,79,YES,2-4 hours,1
Charging Dock,charging,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",38,18,YES,2-3 hours,0
Anti-slip Phone Mat,protection,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",100,66,YES,4-6 hours,1
Parts Storage Box,organisation,Beginner,"old packaging, glue","knife, cutting mat",47,28,YES,1-2 hours,0
Protective Phone Case,protection,Beginner,"cardboard, rubber bands","stapler, tape measure",32,17,YES,2-3 hours,0
Charging Dock,charging,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",45,25,YES,2-3 hours,0
Soldering Station Holder,tools,Beginner,"old packaging, glue","knife, cutting mat",38,22,YES,1-2 hours,0
Repair Bench Organiser,organisation,Beginner,"cardboard, glue, scissors","stapler, tape measure",60,31,YES,2-3 hours,1
Wire Storage Rack,organisation,Advanced,"steel rods, screws, drill bits","lathe, drill press",335,206,YES,6-10 hours,1
Cable Organiser,organisation,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",85,51,YES,4-6 hours,0
Cable Organiser,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",249,153,YES,1-2 days,0
USB Hub Stand,charging,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",184,117,NO,3-5 hours,2
Charging Dock,charging,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",195,133,YES,3-5 hours,0
Cable Organiser,organisation,Beginner,"cardboard, glue, scissors","marker, scissors",71,36,YES,1-2 hours,0
USB Hub Stand,charging,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",332,215,YES,6-10 hours,1
Phone Charging Station,charging,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",189,113,YES,2-4 hours,1
Cable Organiser,organisation,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",56,31,YES,1-2 hours,1
USB Hub Stand,charging,Advanced,"wood, metal brackets, bolts","CNC router, clamps",376,275,YES,4-8 hours,0
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",98,63,YES,3-5 hours,1
Parts Storage Box,organisation,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",23,13,NO,2-3 hours,2
Phone Amplifier,audio,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",187,118,YES,2-4 hours,1
Parts Storage Box,organisation,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",179,121,YES,2-4 hours,1
Repair Bench Organiser,organisation,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",174,109,YES,4-6 hours,0
Charging Dock,charging,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",170,107,YES,2-4 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",35,17,YES,2-3 hours,1
USB Hub Stand,charging,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",144,89,NO,3-5 hours,2
Earphone Holder,organisation,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",102,71,YES,2-4 hours,1
Parts Storage Box,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",246,158,YES,4-8 hours,0
Screwdriver Organiser,tools,Beginner,"cardboard, glue, scissors","marker, scissors",37,21,YES,1-2 hours,0
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","stapler, tape measure",34,17,YES,2-3 hours,1
USB Hub Stand,charging,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",138,82,YES,2-4 hours,1
Phone Charging Station,charging,Advanced,"aluminium sheet, welding rods","lathe, drill press",344,222,YES,6-10 hours,1
USB Hub Stand,charging,Intermediate,"recycled plastic, bolts","soldering iron, wire cutters",113,74,NO,2-4 hours,3
Phone Cradle,display,Beginner,"old packaging, glue","stapler, tape measure",77,37,YES,1-2 hours,0
Screwdriver Organiser,tools,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",117,70,YES,4-6 hours,0
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","lathe, drill press",313,220,YES,1-2 days,1
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",73,41,YES,2-3 hours,0
Parts Storage Box,organisation,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",172,116,YES,4-6 hours,0
Repair Bench Organiser,organisation,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",108,72,YES,3-5 hours,1
Wire Storage Rack,organisation,Beginner,"cardboard, glue, scissors","marker, scissors",50,24,YES,1-2 hours,0
USB Hub Stand,charging,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",395,268,YES,4-8 hours,1
Soldering Station Holder,tools,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",434,270,NO,6-10 hours,2
Screwdriver Organiser,tools,Beginner,"cardboard, rubber bands","knife, cutting mat",40,22,YES,1-2 hours,0
Wire Storage Rack,organisation,Beginner,"old packaging, glue","marker, scissors",28,16,YES,2-3 hours,1
Phone Stand,display,Beginner,"cardboard, glue, scissors","stapler, tape measure",54,27,YES,1-2 hours,0
Screwdriver Organiser,tools,Beginner,"cardboard, rubber bands","stapler, tape measure",60,34,YES,1-2 hours,0
Soldering Station Holder,tools,Advanced,"PCB board, solder, wires","lathe, drill press",356,223,NO,6-10 hours,3
Phone Charging Station,charging,Advanced,"steel rods, screws, drill bits","lathe, drill press",468,305,NO,6-10 hours,2
Phone Cradle,display,Beginner,"old packaging, glue","scissors, ruler, glue gun",30,18,YES,1-2 hours,0
Parts Storage Box,organisation,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",33,19,YES,2-3 hours,0
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",330,236,YES,1-2 days,0
Phone Stand,display,Advanced,"PCB board, solder, wires","CNC router, clamps",259,172,YES,1-2 days,0
Repair Bench Organiser,organisation,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",204,132,YES,6-10 hours,0
Phone Charging Station,charging,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",260,167,NO,1-2 days,1
Phone Cradle,display,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",186,118,YES,2-4 hours,0
Phone Charging Station,charging,Intermediate,"recycled plastic, bolts","soldering iron, wire cutters",196,115,NO,2-4 hours,1
Screwdriver Organiser,tools,Beginner,"old packaging, glue","knife, cutting mat",78,38,YES,1-2 hours,0
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","lathe, drill press",251,185,YES,6-10 hours,1
Phone Stand,display,Beginner,"cardboard, rubber bands","stapler, tape measure",72,36,YES,2-3 hours,1
Parts Storage Box,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",26,15,YES,1-2 hours,1
Protective Phone Case,protection,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",159,95,YES,2-4 hours,0
Soldering Station Holder,tools,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",138,83,YES,4-6 hours,0
Charging Dock,charging,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",64,36,NO,2-3 hours,3
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","welding machine, angle grinder",424,266,YES,1-2 days,0
Wire Storage Rack,organisation,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",94,64,YES,4-6 hours,1
Phone Stand,display,Advanced,"steel rods, screws, drill bits","lathe, drill press",468,335,YES,1-2 days,0
Soldering Station Holder,tools,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",327,220,YES,1-2 days,0
Phone Stand,display,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",280,189,YES,4-8 hours,1
Protective Phone Case,protection,Beginner,"plastic bottles, tape","marker, scissors",41,24,YES,2-3 hours,0
Charging Dock,charging,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",136,91,YES,3-5 hours,0
Wire Storage Rack,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",209,129,YES,1-2 days,1
Anti-slip Phone Mat,protection,Advanced,"PCB board, solder, wires","lathe, drill press",487,307,YES,4-8 hours,0
USB Hub Stand,charging,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",122,78,YES,4-6 hours,1
Charging Dock,charging,Beginner,"cardboard, rubber bands","stapler, tape measure",68,38,YES,2-3 hours,0
Phone Stand,display,Beginner,"old packaging, glue","scissors, ruler, glue gun",51,25,YES,2-3 hours,0
Repair Bench Organiser,organisation,Beginner,"plastic bottles, tape","stapler, tape measure",79,46,YES,1-2 hours,1
Phone Stand,display,Advanced,"steel rods, screws, drill bits","CNC router, clamps",263,188,YES,4-8 hours,0
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",187,120,NO,4-6 hours,1
Charging Dock,charging,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",164,106,NO,4-6 hours,3
Phone Cradle,display,Beginner,"cardboard, rubber bands","marker, scissors",37,20,YES,1-2 hours,0
Soldering Station Holder,tools,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",462,298,YES,4-8 hours,0
Earphone Holder,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",348,245,NO,1-2 days,3
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","CNC router, clamps",365,258,NO,1-2 days,3
Anti-slip Phone Mat,protection,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",346,253,YES,4-8 hours,1
Cable Organiser,organisation,Beginner,"plastic bottles, tape","stapler, tape measure",62,30,YES,2-3 hours,0
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","stapler, tape measure",64,37,YES,2-3 hours,0
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",487,355,YES,1-2 days,1
Parts Storage Box,organisation,Advanced,"PCB board, solder, wires","welding machine, angle grinder",224,166,YES,4-8 hours,1
Repair Bench Organiser,organisation,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",426,309,NO,1-2 days,1
Phone Amplifier,audio,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",102,71,YES,3-5 hours,0
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",151,90,YES,3-5 hours,1
Parts Storage Box,organisation,Beginner,"cardboard, glue, scissors","stapler, tape measure",22,11,YES,2-3 hours,1
Charging Dock,charging,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",362,246,NO,6-10 hours,3
Phone Charging Station,charging,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",91,55,NO,3-5 hours,2
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",471,316,YES,1-2 days,1
Wire Storage Rack,organisation,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",77,43,YES,2-3 hours,1
Anti-slip Phone Mat,protection,Beginner,"cardboard, glue, scissors","stapler, tape measure",44,22,YES,2-3 hours,1
Phone Stand,display,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",194,126,YES,2-4 hours,0
Screwdriver Organiser,tools,Beginner,"old packaging, glue","scissors, ruler, glue gun",33,18,YES,1-2 hours,1
Screwdriver Organiser,tools,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",67,38,YES,1-2 hours,0
Phone Stand,display,Beginner,"plastic bottles, tape","stapler, tape measure",70,36,YES,2-3 hours,1
Wire Storage Rack,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",407,271,YES,1-2 days,0
Phone Cradle,display,Advanced,"PCB board, solder, wires","welding machine, angle grinder",499,303,NO,6-10 hours,3
Phone Amplifier,audio,Advanced,"wood, metal brackets, bolts","CNC router, clamps",244,157,NO,1-2 days,1
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",54,27,YES,2-3 hours,1
Phone Stand,display,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",484,301,YES,6-10 hours,0
Parts Storage Box,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",376,238,NO,4-8 hours,1
Earphone Holder,organisation,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",104,60,YES,4-6 hours,0
Phone Amplifier,audio,Advanced,"wood, metal brackets, bolts","lathe, drill press",234,149,YES,6-10 hours,0
Screwdriver Organiser,tools,Advanced,"steel rods, screws, drill bits","lathe, drill press",320,197,YES,6-10 hours,1
Protective Phone Case,protection,Advanced,"PCB board, solder, wires","lathe, drill press",356,251,YES,6-10 hours,0
Phone Stand,display,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",111,74,YES,3-5 hours,0
Screwdriver Organiser,tools,Advanced,"PCB board, solder, wires","lathe, drill press",369,270,YES,6-10 hours,0
Cable Organiser,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",241,175,NO,6-10 hours,3
Anti-slip Phone Mat,protection,Advanced,"aluminium sheet, welding rods","CNC router, clamps",239,169,NO,1-2 days,1
Anti-slip Phone Mat,protection,Beginner,"old packaging, glue","knife, cutting mat",55,28,YES,2-3 hours,1
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","CNC router, clamps",348,216,YES,6-10 hours,0
Screwdriver Organiser,tools,Beginner,"plastic bottles, tape","knife, cutting mat",74,44,NO,2-3 hours,1
Cable Organiser,organisation,Advanced,"wood, metal brackets, bolts","lathe, drill press",489,342,NO,4-8 hours,1
Phone Cradle,display,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",109,62,YES,4-6 hours,1
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",197,123,YES,4-6 hours,1
USB Hub Stand,charging,Advanced,"wood, metal brackets, bolts","CNC router, clamps",334,229,YES,6-10 hours,0
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",128,89,YES,3-5 hours,1
Phone Cradle,display,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",193,124,YES,2-4 hours,0
Charging Dock,charging,Advanced,"PCB board, solder, wires","welding machine, angle grinder",343,217,YES,1-2 days,0
Soldering Station Holder,tools,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",172,99,YES,4-6 hours,0
Screwdriver Organiser,tools,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",82,49,YES,4-6 hours,0
Anti-slip Phone Mat,protection,Advanced,"steel rods, screws, drill bits","CNC router, clamps",275,167,YES,1-2 days,0
Anti-slip Phone Mat,protection,Advanced,"wood, metal brackets, bolts","CNC router, clamps",345,256,YES,4-8 hours,0
USB Hub Stand,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",156,90,YES,2-4 hours,1
Anti-slip Phone Mat,protection,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",156,100,YES,2-4 hours,0
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",458,322,NO,6-10 hours,3
Earphone Holder,organisation,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",76,44,YES,2-3 hours,0
Anti-slip Phone Mat,protection,Advanced,"wood, metal brackets, bolts","CNC router, clamps",476,345,NO,6-10 hours,1
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","lathe, drill press",419,266,NO,1-2 days,3
Anti-slip Phone Mat,protection,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",494,304,YES,4-8 hours,1
Earphone Holder,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",409,261,YES,1-2 days,0
Soldering Station Holder,tools,Advanced,"PCB board, solder, wires","welding machine, angle grinder",305,214,YES,4-8 hours,1
Screwdriver Organiser,tools,Advanced,"PCB board, solder, wires","lathe, drill press",329,210,YES,1-2 days,1
Phone Cradle,display,Beginner,"plastic bottles, tape","stapler, tape measure",46,25,YES,2-3 hours,1
Phone Amplifier,audio,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",376,269,YES,1-2 days,0
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","welding machine, angle grinder",282,173,YES,4-8 hours,1
Screwdriver Organiser,tools,Beginner,"old packaging, glue","scissors, ruler, glue gun",71,35,YES,1-2 hours,1
Repair Bench Organiser,organisation,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",90,58,YES,4-6 hours,0
Phone Cradle,display,Beginner,"cardboard, rubber bands","knife, cutting mat",60,32,YES,1-2 hours,0
Earphone Holder,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",63,31,YES,1-2 hours,1
Phone Cradle,display,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",125,82,YES,4-6 hours,0
Anti-slip Phone Mat,protection,Beginner,"cardboard, rubber bands","stapler, tape measure",55,28,YES,2-3 hours,0
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",49,29,YES,2-3 hours,0
Phone Charging Station,charging,Beginner,"cardboard, rubber bands","stapler, tape measure",52,27,NO,2-3 hours,2
Earphone Holder,organisation,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",178,106,YES,4-6 hours,0
Wire Storage Rack,organisation,Beginner,"plastic bottles, tape","knife, cutting mat",36,18,YES,2-3 hours,1
Protective Phone Case,protection,Advanced,"steel rods, screws, drill bits","lathe, drill press",474,285,NO,4-8 hours,2
Screwdriver Organiser,tools,Advanced,"wood, metal brackets, bolts","lathe, drill press",375,229,NO,6-10 hours,1
Anti-slip Phone Mat,protection,Advanced,"steel rods, screws, drill bits","CNC router, clamps",337,211,YES,1-2 days,0
Repair Bench Organiser,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",323,236,YES,1-2 days,1
Cable Organiser,organisation,Beginner,"old packaging, glue","scissors, ruler, glue gun",27,16,YES,1-2 hours,1
Protective Phone Case,protection,Advanced,"PCB board, solder, wires","CNC router, clamps",361,243,NO,4-8 hours,3
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",108,72,YES,4-6 hours,0
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",130,88,YES,4-6 hours,1
Protective Phone Case,protection,Advanced,"aluminium sheet, welding rods","lathe, drill press",204,123,YES,6-10 hours,1
Cable Organiser,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",334,212,YES,4-8 hours,1
Soldering Station Holder,tools,Beginner,"old packaging, glue","stapler, tape measure",46,26,YES,2-3 hours,0
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",56,31,YES,2-3 hours,1
Repair Bench Organiser,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",71,42,YES,2-3 hours,1
Cable Organiser,organisation,Advanced,"wood, metal brackets, bolts","lathe, drill press",464,316,YES,6-10 hours,0
Soldering Station Holder,tools,Beginner,"cardboard, rubber bands","marker, scissors",64,32,YES,1-2 hours,1
Parts Storage Box,organisation,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",113,69,YES,2-4 hours,1
Charging Dock,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",191,125,YES,3-5 hours,1
Screwdriver Organiser,tools,Advanced,"aluminium sheet, welding rods","CNC router, clamps",449,322,YES,1-2 days,1
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","CNC router, clamps",274,200,YES,1-2 days,1
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","stapler, tape measure",25,12,YES,2-3 hours,1
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",179,122,YES,2-4 hours,0
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","knife, cutting mat",28,16,YES,1-2 hours,1
Charging Dock,charging,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",24,14,YES,2-3 hours,0
Charging Dock,charging,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",159,92,YES,2-4 hours,0
Parts Storage Box,organisation,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",136,88,YES,2-4 hours,1
USB Hub Stand,charging,Intermediate,"recycled plastic, bolts","jigsaw, clamps",190,119,NO,2-4 hours,3
Phone Charging Station,charging,Beginner,"old packaging, glue","stapler, tape measure",57,31,YES,2-3 hours,1
Phone Charging Station,charging,Beginner,"old packaging, glue","stapler, tape measure",71,35,YES,1-2 hours,1
Phone Stand,display,Beginner,"cardboard, rubber bands","stapler, tape measure",53,31,YES,2-3 hours,0
Parts Storage Box,organisation,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",176,110,YES,4-6 hours,0
Phone Cradle,display,Beginner,"old packaging, glue","marker, scissors",55,29,YES,1-2 hours,0
Parts Storage Box,organisation,Advanced,"aluminium sheet, welding rods","CNC router, clamps",399,289,YES,1-2 days,0
Phone Charging Station,charging,Advanced,"PCB board, solder, wires","CNC router, clamps",339,218,YES,4-8 hours,0
Cable Organiser,organisation,Beginner,"old packaging, glue","stapler, tape measure",38,19,YES,2-3 hours,0
Protective Phone Case,protection,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",29,14,YES,2-3 hours,1
Cable Organiser,organisation,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",424,301,YES,6-10 hours,0
Protective Phone Case,protection,Intermediate,"recycled plastic, bolts","jigsaw, clamps",119,80,YES,4-6 hours,0
Protective Phone Case,protection,Beginner,"cardboard, rubber bands","marker, scissors",73,42,YES,1-2 hours,1
Cable Organiser,organisation,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",77,45,YES,1-2 hours,1
Phone Cradle,display,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",111,74,YES,4-6 hours,0
Wire Storage Rack,organisation,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",167,116,NO,4-6 hours,3
Phone Charging Station,charging,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",36,19,YES,1-2 hours,0
Repair Bench Organiser,organisation,Advanced,"PCB board, solder, wires","welding machine, angle grinder",422,274,YES,6-10 hours,0
Phone Stand,display,Beginner,"plastic bottles, tape","stapler, tape measure",57,33,YES,1-2 hours,0
Cable Organiser,organisation,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",91,60,YES,3-5 hours,0
Parts Storage Box,organisation,Advanced,"PCB board, solder, wires","CNC router, clamps",254,157,YES,1-2 days,0
Phone Stand,display,Advanced,"aluminium sheet, welding rods","CNC router, clamps",393,257,YES,1-2 days,1
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",149,98,YES,3-5 hours,1
Phone Amplifier,audio,Advanced,"wood, metal brackets, bolts","lathe, drill press",483,301,YES,6-10 hours,1
